id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
11510,"On Fire, The Burning Case for a Green New Deal ",Naomi Klein,,Nonfiction,2019,320 pages,Knopf Canada,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563469396l/44055880.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=44055880&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,12.99,https://www.goodreads.com/book/show/44055880-on-fire?from_search=true&from_srp=true&qid=5LgSbfnu21&rank=1
2943,Trading in the Zone ,"Mark Douglas
Thom Hartle",,Economics,2001,240 pages,Prentice Hall Press ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387608367l/253516.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=253516&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/253516.Trading_in_the_Zone?from_search=true&from_srp=true&qid=zUgpmqdSlz&rank=1
813,Possible Minds ,John Brockman,,Science,2019,320 pages,Penguin Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534278633l/40338436.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=40338436&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/40338436-possible-minds?from_search=true&from_srp=true&qid=sPpUWyq8Ly&rank=1
130,Sparky's Magic Piano,Various,,,2002,,Naxos AudioBooks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394360412l/21036682.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=21036682&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/21036682-sparky-s-magic-piano-and-other-classic-recordings?from_search=true&from_srp=true&qid=BBiqxuLPUY&rank=1
11760,Werewolves and Lollipops,Books LLC,,,2010,18 pages,Books LLC,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348773661l/9483101.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=9483101&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/9483101-patton-oswalt-albums?from_search=true&from_srp=true&qid=piyJa9jGGa&rank=1
2024,Asia's Cauldron ,Robert D. Kaplan,,History,2014,256 pages,Random House ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393226611l/18770412.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=18770412&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,12.99,https://www.goodreads.com/book/show/18770412-asia-s-cauldron?from_search=true&from_srp=true&qid=bedcYhEvHx&rank=1
436,The Machine Stops,E.M. Forster,,Science Fiction,2008,48 pages,Dodo Press ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347943820l/4711854.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=4711854&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,3.75,https://www.goodreads.com/book/show/4711854-the-machine-stops?from_search=true&from_srp=true&qid=SnDAEhSRx9&rank=1
2441,The Revenge of Geography ,Robert D. Kaplan,,History,2012,403 pages,"Random House, Inc.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386541369l/13330422.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=13330422&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/13330422-the-revenge-of-geography?from_search=true&from_srp=true&qid=WqgMnJ7LuU&rank=1
11762,Luther Burbank Performing Arts Center Blues ,,,,,,,,,,
1997,A River in Darkness ,"Masaji Ishikawa
Risa Kobayashi
Martin Brown",,Nonfiction,2018,174 pages,AmazonCrossing ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511377677l/35404398._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=35404398&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,0.00,https://www.goodreads.com/book/show/35404398-a-river-in-darkness?from_search=true&from_srp=true&qid=lPGyJOOdV3&rank=1
