id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
1023,"Go Down, Moses ",William Faulkner,,Fiction,1991,365 pages,Vintage ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388191655l/17726.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=17726&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.99,https://www.goodreads.com/book/show/17726.Go_Down_Moses?from_search=true&from_srp=true&qid=VPoW5IYHwU&rank=1
1119,TTC Audio - Exploring Metaphysics,,,,,,,,,,
1121,TTC Audio - Food A Cultural Culinary History,,,,,,,,,,
1221,"Manipulation Mastery How to Analyze, Influence, and Manipulate Human Behavior with Mind Control",Marcus P. Holland,,Psychology,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579689658l/50624258._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=50624258&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/50624258-manipulation-mastery?from_search=true&from_srp=true&qid=r8R16ynSG9&rank=1
1223,The Handmaid's Tale ,Margaret Atwood,,Fiction,2019,422 pages,Nan A. Talese,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549292344l/42975172.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=42975172&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/42975172-the-testaments?from_search=true&from_srp=true&qid=Z8xwzlyG91&rank=1
1273,Collection - Top 100 Science Fiction Audio Books,,,,,,,,,,
1398,The Tale of Genji,"Murasaki Shikibu
Royall Tyler
山本 淳子",,Classics,2003,1182 pages,Penguin ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401241319l/7042.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=7042&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,4.99,https://www.goodreads.com/book/show/7042.The_Tale_of_Genji?from_search=true&from_srp=true&qid=WnAlq7g7wE&rank=1
1428,"TTC Audio - History of the Ancient World, A Global Perspective",,,,,,,,,,
1430,TTC Audio - History's Great Military Blunders and the Lessons They Teach,,,,,,,,,,
1432,"TTC Audio - How Conversation Works, 6 Lessons for Better Communication",,,,,,,,,,
1473,"A Collective Bargain, Unions, Organizing, and the Fight for Democracy ",Jane F. McAlevey,,Politics,2020,304 pages,Ecco,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569441996l/44890068._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=44890068&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,13.99,https://www.goodreads.com/book/show/44890068-a-collective-bargain?from_search=true&from_srp=true&qid=yLvVnipBP4&rank=1
1476,The Magician ,C.S. Lewis,,Fantasy,2005,221 pages,HarperCollins Publishers ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308814770l/65605.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=65605&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,6.99,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew?from_search=true&from_srp=true&qid=Xf3FRd9TYd&rank=1
1488,TTC Audio - Effective Communication Skills 2011,,,,,,,,,,
1506,"The Theft of India, The European Conquests of India, 1498-1765",Roy Moxham,,History,2012,264 pages,Harper Collins India,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483263640l/33654166.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=33654166&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/33654166-the-theft-of-india?from_search=true&from_srp=true&qid=oR6xNOdA3G&rank=1
1932,A Personal Matter ,"Kenzaburō Ōe
John Nathan",,Fiction,1994,165 pages,Grove Press ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328822587l/25191.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=25191&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.64,https://www.goodreads.com/book/show/25191.A_Personal_Matter?from_search=true&from_srp=true&qid=eHTYUYsZFB&rank=1
2255,Men on Strike ,Helen Smith,,Nonfiction,2013,248 pages,Encounter Books ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366775883l/15985426.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=15985426&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,10.99,https://www.goodreads.com/book/show/15985426-men-on-strike?from_search=true&from_srp=true&qid=55YDqcxOlt&rank=1
2334,Post Office ,Charles Bukowski,,Fiction,2009,162 pages,Ecco ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555887577l/40409718._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=40409718&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,0.00,https://www.goodreads.com/book/show/40409718-post-office?from_search=true&from_srp=true&qid=CkW2n5mFCa&rank=1
2336,Women ,Louisa May Alcott,,Classics,2004,449 pages,Signet Classics ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1934&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,2.99,https://www.goodreads.com/book/show/1934.Little_Women?from_search=true&from_srp=true&qid=1Qb9wH96Az&rank=1
2339,Factotum ,Charles Bukowski,,Fiction,2002,208 pages,Ecco ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407706616l/497199.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=497199&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,12.49,https://www.goodreads.com/book/show/497199.Factotum?from_search=true&from_srp=true&qid=Z82grqHVLY&rank=1
